agentId,name,description,catalog,category,capabilities,runtime_platform,runtime_interactionMode,runtime_autonomyLevel,status,owner,access,businessCriticality
d2efd22b-80ae-451b-89dd-691cda5f1e82,Agent oBxk,Pattern in not worry.,Enterprise AI Catalog,Legal,Recommendation|Task Automation|Decision Support,Enterprise AI Platform,Conversational,Assistant,Retired,Operations,Internal,Critical
95ed574a-b293-4b88-b7cd-1bba012ea731,Agent bPbl,Himself trial other couple past article adult.,Enterprise AI Catalog,Operations,Question Answering|Search|Summarization,Enterprise AI Platform,API,Assistant,Retired,Sales,Public,Low
f019417e-9016-4694-8147-81b6fd467cbe,Agent cxgo,Popular receive exactly continue.,Enterprise AI Catalog,Research,Content Generation|Data Analysis|Classification,Enterprise AI Platform,Conversational,Assistant,Development,Software Development,Public,Critical
9ced4f76-3e9f-49f2-b6cd-2c6bb71b1ebf,Agent QGhQ,Few mouth though white even east pay.,Enterprise AI Catalog,Risk,Recommendation|Task Automation|Decision Support,Enterprise AI Platform,Conversational,Assisted,Development,Operations,Internal,Medium
4ce9cbce-d451-4199-ad1d-8fb2971fe43b,Agent BRWr,Walk understand company there.,Enterprise AI Catalog,Risk,Search|Summarization|Content Generation,Enterprise AI Platform,Conversational,Autonomous,Development,Research,Internal,Medium
e0e765d7-7413-44a1-b17d-4b86ed9f998d,Agent LnSp,Past else people deep career.,Enterprise AI Catalog,Software Development,Question Answering|Search|Summarization,Enterprise AI Platform,API,Assistant,Development,Customer Support,Restricted,Medium
5085688e-5757-4420-a89c-57d2ed9a04dc,Agent kHqi,Skill painting question recognize eye provide.,Enterprise AI Catalog,Data Analytics,Data Analysis|Classification|Recommendation,Enterprise AI Platform,Conversational,Assisted,Retired,Finance,Restricted,Low
54306ecd-075d-410d-8cc7-9a2785af0cea,Agent opjb,Respond still control particularly.,Enterprise AI Catalog,Human Resources,Recommendation|Task Automation|Decision Support,Enterprise AI Platform,API,Assisted,Retired,Human Resources,Public,Low
15b03394-b284-4ae9-9d0c-84e6c57cfc3f,Agent gwar,Size particular believe set seven class.,Enterprise AI Catalog,Risk,Recommendation|Task Automation|Decision Support,Enterprise AI Platform,Embedded,Autonomous,Development,Software Development,External,Low
bcf1bf29-fbf9-468b-b349-911f6d8c5fab,Agent nMAb,Quickly already contain rather.,Enterprise AI Catalog,Customer Support,Task Automation|Decision Support|Question Answering,Enterprise AI Platform,Embedded,Assisted,Development,Risk,Internal,Low
016cc34b-2ff3-4591-bddc-11a7e8321ed7,Agent rqxf,Talk meet change prove concern fact.,Enterprise AI Catalog,Research,Question Answering|Search|Summarization,Enterprise AI Platform,API,Assisted,Suspended,Research,Internal,Medium
70559ef6-d7fe-4b19-8dfb-fc492a2ea67b,Agent LCzB,Interview capital important top where.,Enterprise AI Catalog,Risk,Classification|Recommendation|Task Automation,Enterprise AI Platform,Background,Assisted,Development,Customer Support,Internal,Medium
e94d88d4-247b-4c3f-8759-7b5ebb0985ad,Agent rpcC,Democrat myself history scene vote.,Enterprise AI Catalog,Customer Support,Search|Summarization|Content Generation,Enterprise AI Platform,Conversational,Autonomous,Pilot,Risk,Restricted,Critical
ab8f97c3-57ac-45b7-926b-0e3d9daed83c,Agent DPty,Majority turn media worker garden per fire.,Enterprise AI Catalog,Operations,Decision Support|Question Answering|Search,Enterprise AI Platform,Embedded,Assistant,Production,Risk,Public,Critical
6f7f2b21-ee4c-4e77-93cc-225b80bf0f54,Agent rDPS,Level only development quality tax good behind.,Enterprise AI Catalog,Legal,Data Analysis|Classification|Recommendation,Enterprise AI Platform,API,Autonomous,Suspended,Software Development,Public,Medium
0ec43a0b-c58b-4be9-84a8-334ae1707976,Agent yGua,Hand picture serious environment.,Enterprise AI Catalog,Operations,Search|Summarization|Content Generation,Enterprise AI Platform,Conversational,Assisted,Production,Sales,Public,Critical
9cbadc40-4613-4f98-8fbe-85d48c436ebd,Agent iTeV,Shoulder might usually describe plant dinner theory.,Enterprise AI Catalog,Finance,Content Generation|Data Analysis|Classification,Enterprise AI Platform,Conversational,Assisted,Suspended,Risk,Public,Medium
4a6d12ef-a751-4a42-830a-fd7d00d670ab,Agent vrNN,Than each style shake figure Congress.,Enterprise AI Catalog,Software Development,Summarization|Content Generation|Data Analysis,Enterprise AI Platform,Conversational,Assisted,Pilot,Legal,Restricted,High
b875f6b5-efec-43cf-936c-2fc9c989c645,Agent FmEv,Moment enter agree not attack lose.,Enterprise AI Catalog,Research,Task Automation|Decision Support|Question Answering,Enterprise AI Platform,API,Autonomous,Production,Sales,Internal,High
ee5472b7-8e95-42ac-85ec-3594132fcfd9,Agent feov,Stage impact light stock even rest.,Enterprise AI Catalog,Data Analytics,Task Automation|Decision Support|Question Answering,Enterprise AI Platform,Background,Assistant,Retired,Operations,Internal,High
