mcpServerId,name,description,catalog,version,connection_endpoint,connection_transport,connection_authentication,connection_protocolVersion,access,owner,status
2c25821e-c0a4-4d19-90c4-4b74c1f8f89d,MCP DCQY,Look discussion north answer whatever.,Enterprise AI Catalog,2.6.0,https://thomas.com/,STDIO,API Key,2025-06-18,Restricted,Data Platform,Development
2279c8c3-40a0-45ff-9fe6-a4687d639355,MCP scvG,Attention evidence think down.,Enterprise AI Catalog,2.5.0,https://www.wilson.com/,Streamable HTTP,Service Identity,2025-06-18,Internal,Customer Platform,Suspended
046f4304-de77-40bc-9d69-b11ded8453f1,MCP ZYmF,Employee growth run quite.,Enterprise AI Catalog,2.4.0,https://www.sanders.info/,Streamable HTTP,Service Identity,2025-06-18,External,Data Platform,Development
f22fc997-aa8f-4938-b445-cec7153b6865,MCP uxpo,Bar base government difficult.,Enterprise AI Catalog,2.5.0,http://www.king-richard.net/,STDIO,None,2025-06-18,Internal,AI Infrastructure,Development
c5173a0e-f14d-4a47-b27d-8f082575d3c3,MCP AHOb,According meeting red seek team need.,Enterprise AI Catalog,2.3.0,https://www.fernandez.info/,Streamable HTTP,None,2025-06-18,Restricted,Data Platform,Suspended
6a081162-557d-4c8c-b66a-69e5c704afbe,MCP oWFC,Source light yeah dog to.,Enterprise AI Catalog,2.3.0,https://klein-smith.com/,Other,API Key,2025-06-18,External,Data Platform,Suspended
17ca7481-a250-4dcf-97cd-686790472886,MCP ftaV,Discussion indicate heavy vote heavy where institution phone.,Enterprise AI Catalog,2.9.0,https://www.hill.com/,Other,Service Identity,2025-06-18,Restricted,Data Platform,Retired
3d083e72-da0d-4f0f-898a-017b625a51d9,MCP pImQ,Allow expert worry capital military series fear short.,Enterprise AI Catalog,2.7.0,http://landry.biz/,STDIO,OAuth 2.0,2025-06-18,External,Data Platform,Pilot
dacf1ab5-e47d-4dee-b017-1b94d31d8221,MCP LOIz,Product site go I.,Enterprise AI Catalog,2.7.0,http://www.leblanc.org/,STDIO,Other,2025-06-18,Internal,Customer Platform,Development
bf1a7154-6f80-44d5-bd05-e1497fe0814f,MCP pNuf,Far indicate bag late.,Enterprise AI Catalog,2.4.0,http://ellis-david.com/,STDIO,OAuth 2.0,2025-06-18,Restricted,AI Infrastructure,Pilot
