datasetId,name,description,purpose,catalog,format,service,location,owner,classification,size,lastUpdated
59c7315b-eda9-42c9-a231-4e1a7b89bad8,Team-oriented clear-thinking policy,Market for wife notice unit ten nor.,Knowledge,Corporate Data Catalog,Video,SharePoint,/talk/million.wav,HR Analytics,Confidential,72 GB,2026-05-17
bcf1f605-cc00-4d73-b528-5a123bb300e8,Future-proofed 24/7 model,Run prevent idea.,Operational,Corporate Data Catalog,Database Table,PostgreSQL,/person/must.webm,Customer Service Analytics,Public,63 GB,2026-02-24
47b1919d-a97f-4467-953d-761aeeeb8e9c,Cross-group bandwidth-monitored policy,Coach few seat light seven relate important leader.,Knowledge,Enterprise Data Catalog,Database Table,Azure Blob Storage,/room/rather.gif,HR Analytics,Internal,93 GB,2026-07-13
046c261d-205d-4f1d-bcb8-90040828e353,Cross-group intangible hub,Break keep man.,Other,Corporate Data Catalog,Parquet,S3,/arm/crime.mp4,HR Analytics,Confidential,06 GB,2026-03-31
f9d3bb78-c791-4a8d-9e0f-36f53f0a2af4,Virtual local solution,Read manager red chair performance.,Evaluation,AI Data Catalog,Video,S3,/little/west.bmp,Customer Service Analytics,Confidential,27 GB,2026-06-28
03a44903-99b8-446e-b3fa-6d79a5d54652,Cross-platform even-keeled encryption,Mother get nearly.,Evaluation,Corporate Data Catalog,Documents,PostgreSQL,/score/minute.mov,Risk Data Office,Internal,66 GB,2026-04-09
30306a7c-a72a-4601-94c6-e74c33652dd1,Versatile context-sensitive service-desk,Hair trial know effect ready accept generation.,Knowledge,Corporate Data Catalog,Audio,SharePoint,/statement/doctor.gif,Customer Service Analytics,Confidential,52 GB,2026-07-24
c44ced40-668c-4a79-ad55-4174c021c6d7,Object-based regional instruction set,Reveal trial site.,Knowledge,Enterprise Data Catalog,Audio,S3,/gas/manager.xlsx,Product Management,Internal,01 GB,2026-02-13
62d7cfa1-0912-4c37-b363-1a32fc28ec33,Reverse-engineered system-worthy intranet,White cut sometimes.,Training,AI Data Catalog,Parquet,Snowflake,/someone/middle.mov,Product Management,Restricted,89 GB,2026-08-09
f9c33926-17f6-47c4-b3fd-63cd8be613cc,Innovative bandwidth-monitored methodology,Present recent build might easy car.,Validation,Corporate Data Catalog,CSV,BigQuery,/voice/build.bmp,Customer Service Analytics,Public,23 GB,2026-02-19
